  2 +    30.176530996  -426.772469004     0.807553122
  2 +    30.670914793  -426.278085207     0.759987886
  2 +    30.878584966  -426.070415034     0.757629784
  2 +    31.119940109  -425.829059891     0.791519811
  2 +    31.189541478  -425.759458522     0.783831452
  2 +    31.651014059  -425.297985941     0.806956805
  2 +    32.051968933  -424.897031067     0.754913978
  2 +    32.342239968  -424.606760032     0.637978319
  2 +    32.578405268  -424.370594732     0.723045422
  2 +    33.121982111  -423.827017889     0.526433690
  2 +    33.254603384  -423.694396616     0.621802562
  2 +    33.758376948  -423.190623052     0.161183619
  2 +    33.914844122  -423.034155878     0.268854381
  2 +    34.141924996  -422.807075004     0.345367947
  2 +    34.194819597  -422.754180403     0.461973491
  2 +    34.354549543  -422.594450457     0.391345884
  2 +    34.730992295  -422.218007705     0.271273607
  2 +    34.776315266  -422.172684734     0.333820143
  2 +    34.849468414  -422.099531586     0.263173562
  2 +    34.996292193  -421.952707807     0.390486098
  2 +    35.076254349  -421.872745651     0.355784389
  2 +    35.207349139  -421.741650861     0.164215497
  2 +    35.282783671  -421.666216329     0.279025683
  2 +    35.525496529  -421.423503471     0.186565240
  2 +    35.663331622  -421.285668378     0.225490842
  2 +    35.700603548  -421.248396452     0.240799908
  2 +    35.774002173  -421.174997827     0.272002546
  2 +    35.827009200  -421.121990800     0.259915259
  2 +    35.915304416  -421.033695584     0.426305095
  2 +    35.936871111  -421.012128889     0.151309431
  2 +    35.986740751  -420.962259249     0.165183388
  2 +    36.080853254  -420.868146746     0.276506669
  2 +    36.188713669  -420.760286331     0.261233900
  2 +    36.201022950  -420.747977050     0.168580210
  2 +    36.371925203  -420.577074797     0.138701720
  2 +    36.378831250  -420.570168750     0.152173149
  2 +    36.427259252  -420.521740748     0.240502007
  2 +    36.518168694  -420.430831306     0.138903110
  2 +    36.544892357  -420.404107643     0.096185255
  2 +    36.611238476  -420.337761524     0.090450079
  2 +    36.671062119  -420.277937881     0.070284686
  2 +    36.707798635  -420.241201365     0.086369175
  2 +    36.758794050  -420.190205950     0.065252606
  2 +    36.863711371  -420.085288629     0.039350701
  2 +    36.926468722  -420.022531278     0.040388631
  2 +    36.981807730  -419.967192270     0.063454892
  2 +    37.024538097  -419.924461903     0.087089286
  2 +    37.119837554  -419.829162446     0.152706718
  2 +    37.212714453  -419.736285547     0.044109091
  2 +    37.219590332  -419.729409668     0.065480764
  2 +    37.236468313  -419.712531687     0.064570740
  2 +    37.332164861  -419.616835139     0.063142304
  2 +    37.358952989  -419.590047011     0.145500678
  2 +    37.382923512  -419.566076488     0.160205164
  2 +    37.394954552  -419.554045448     0.118120746
  2 +    37.477953657  -419.471046343     0.208329515
  2 +    37.507586517  -419.441413483     0.101618552
  2 +    37.534219396  -419.414780604     0.163878083
  2 +    37.625540407  -419.323459593     0.073854970
  2 +    37.690874733  -419.258125267     0.086579942
  2 +    37.705049564  -419.243950436     0.059664436
  2 +    37.750108975  -419.198891025     0.091847763
  2 +    37.776110646  -419.172889354     0.033117346
  2 +    37.830755882  -419.118244118     0.050817705
  2 +    37.889124292  -419.059875708     0.103230510
  2 +    37.948640705  -419.000359295     0.124436013
  2 +    38.015448912  -418.933551088     0.052824234
  2 +    38.070376464  -418.878623536     0.102770983
  2 +    38.083586285  -418.865413715     0.129545546
  2 +    38.120330833  -418.828669167     0.051987691
  2 +    38.164321790  -418.784678210     0.096943677
  2 +    38.219405335  -418.729594665     0.061004266
  2 +    38.227417046  -418.721582954     0.057993236
  2 +    38.288194987  -418.660805013     0.052085226
  2 +    38.316082753  -418.632917247     0.042178263
  2 +    38.380404375  -418.568595625     0.059818585
  2 +    38.396132735  -418.552867265     0.036571074
  2 +    38.431068248  -418.517931752     0.067483944
  2 +    38.469334816  -418.479665184     0.052543587
  2 +    38.485741498  -418.463258502     0.032368776
  2 +    38.536005462  -418.412994538     0.029311050
  2 +    38.604506339  -418.344493661     0.068371313
  2 +    38.647075452  -418.301924548     0.072267965
  2 +    38.661262511  -418.287737489     0.057794032
  2 +     5.416076708  -451.532923292     0.891423556
  2 +     6.899282264  -450.049717736     0.872230954
  2 +     7.349417961  -449.599582039     0.866446694
  2 +     8.544907710  -448.404092290     0.886260082
  2 +    21.091682289  -435.857317711     0.884533274
  2 +    22.430100912  -434.518899088     0.863747396
  2 +    24.335407274  -432.613592726     0.854273767
  2 +    25.449771682  -431.499228318     0.855422979
  2 +    25.612956546  -431.336043454     0.863224484
  2 +    26.810918636  -430.138081364     0.843921630
  2 +    27.064286822  -429.884713178     0.838591106
  2 +    27.842945720  -429.106054280     0.838601095
  2 +    28.915948388  -428.033051612     0.834445582
  2 +    29.107018666  -427.841981334     0.845816985
  2 +    29.785503879  -427.163496121     0.804783457
  2 +    29.890465427  -427.058534573     0.802699409
  2 +    30.176530996  -426.772469004     0.807553122
  2 +    30.670914793  -426.278085207     0.759987886
  2 +    30.878584966  -426.070415034     0.757629784
  2 +    31.119940109  -425.829059891     0.791519811
  2 +    31.189541478  -425.759458522     0.783831452
  2 +    31.651014059  -425.297985941     0.806956805
  2 +    32.051968933  -424.897031067     0.754913978
  2 +    32.342239968  -424.606760032     0.637978319
  2 +    32.578405268  -424.370594732     0.723045422
  2 +    33.121982111  -423.827017889     0.526433690
  2 +    33.254603384  -423.694396616     0.621802562
  2 +    33.758376948  -423.190623052     0.161183619
  2 +    33.914844122  -423.034155878     0.268854381
  2 +    34.141924996  -422.807075004     0.345367947
  2 +    34.194819597  -422.754180403     0.461973491
  2 +    34.354549543  -422.594450457     0.391345884
  2 +    34.730992295  -422.218007705     0.271273607
  2 +    34.776315266  -422.172684734     0.333820143
  2 +    34.849468414  -422.099531586     0.263173562
  2 +    34.996292193  -421.952707807     0.390486098
  2 +    35.076254349  -421.872745651     0.355784389
  2 +    35.207349139  -421.741650861     0.164215497
  2 +    35.282783671  -421.666216329     0.279025683
  2 +    35.525496529  -421.423503471     0.186565240
  2 +    35.663331622  -421.285668378     0.225490842
  2 +    35.700603548  -421.248396452     0.240799908
  2 +    35.774002173  -421.174997827     0.272002546
  2 +    35.827009200  -421.121990800     0.259915259
  2 +    35.915304416  -421.033695584     0.426305095
  2 +    35.936871111  -421.012128889     0.151309431
  2 +    35.986740751  -420.962259249     0.165183388
  2 +    36.080853254  -420.868146746     0.276506669
  2 +    36.188713669  -420.760286331     0.261233900
  2 +    36.201022950  -420.747977050     0.168580210
  2 +    36.371925203  -420.577074797     0.138701720
  2 +    36.378831250  -420.570168750     0.152173149
  2 +    36.427259252  -420.521740748     0.240502007
  2 +    36.518168694  -420.430831306     0.138903110
  2 +    36.544892357  -420.404107643     0.096185255
  2 +    36.611238476  -420.337761524     0.090450079
  2 +    36.671062119  -420.277937881     0.070284686
  2 +    36.707798635  -420.241201365     0.086369175
  2 +    36.758794050  -420.190205950     0.065252606
  2 +    36.863711371  -420.085288629     0.039350701
  2 +    36.926468722  -420.022531278     0.040388631
  2 +    36.981807730  -419.967192270     0.063454892
  2 +    37.024538097  -419.924461903     0.087089286
  2 +    37.119837554  -419.829162446     0.152706718
  2 +    37.212714453  -419.736285547     0.044109091
  2 +    37.219590332  -419.729409668     0.065480764
  2 +    37.236468313  -419.712531687     0.064570740
  2 +    37.332164861  -419.616835139     0.063142304
  2 +    37.358952989  -419.590047011     0.145500678
  2 +    37.382923512  -419.566076488     0.160205164
  2 +    37.394954552  -419.554045448     0.118120746
  2 +    37.477953657  -419.471046343     0.208329515
  2 +    37.507586517  -419.441413483     0.101618552
  2 +    37.534219396  -419.414780604     0.163878083
  2 +    37.625540407  -419.323459593     0.073854970
  2 +    37.690874733  -419.258125267     0.086579942
  2 +    37.705049564  -419.243950436     0.059664436
  2 +    37.750108975  -419.198891025     0.091847763
  2 +    37.776110646  -419.172889354     0.033117346
  2 +    37.830755882  -419.118244118     0.050817705
  2 +    37.889124292  -419.059875708     0.103230510
  2 +    37.948640705  -419.000359295     0.124436013
  2 +    38.015448912  -418.933551088     0.052824234
  2 +    38.070376464  -418.878623536     0.102770983
  2 +    38.083586285  -418.865413715     0.129545546
  2 +    38.120330833  -418.828669167     0.051987691
  2 +    38.164321790  -418.784678210     0.096943677
  2 +    38.219405335  -418.729594665     0.061004266
  2 +    38.227417046  -418.721582954     0.057993236
  2 +    38.288194987  -418.660805013     0.052085226
  2 +    38.316082753  -418.632917247     0.042178263
  2 +    38.380404375  -418.568595625     0.059818585
  2 +    38.396132735  -418.552867265     0.036571074
  2 +    38.431068248  -418.517931752     0.067483944
  2 +    38.469334816  -418.479665184     0.052543587
  2 +    38.485741498  -418.463258502     0.032368776
  2 +    38.536005462  -418.412994538     0.029311050
  2 +    38.604506339  -418.344493661     0.068371313
  2 +    38.647075452  -418.301924548     0.072267965
  2 +    38.661262511  -418.287737489     0.057794032
